Particulars,Bank,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
return on total assets,Global Bank,,,,,,,,,,,,-1.283402 -0.868980 -2.012693,-1.312240 -0.559142 -2.059352,0.663175 0.997316 1.136779,-0.000103 0.479756 0.063626,0.158507 0.466625 0.320249,-0.374999 -0.108458 -0.542939,-0.447095 0.379466 -0.659587,-0.850829 -0.207861 -1.312810,-0.663381 0.316153 -1.009528,-0.562448 0.207324 -0.846222,-1.067116 -0.525105 -1.662752,-0.158713 0.386133 -0.192998,-0.216390 -0.007302 -0.286316,-0.201970 -0.037967 -0.262986,1.585997 2.026241 2.629863,1.355291 2.019579 2.256592,0.187345 0.612630 0.366908,0.158507 0.271106 0.320249,-0.187551 -0.012520 -0.239657,0.201764 0.462662 0.390238,0.071992 0.263378 0.180273,-0.144294 -0.048258 -0.169669,0.216183 0.727788 0.413567,0.605499 0.773966 1.043462,0.172926 -0.254083 0.343579,0.028735 -0.832259 0.110285,0.360374 -0.120853 0.646861,0.418050 -0.337894 0.740179,,0.259440 -0.287098 0.483555,-0.605705 -0.656771 -0.916210,0.043154 -0.355713 0.133614,0.071992 -0.352898 0.180273,0.216183 -0.374218 0.413567,,,,,,,,,,,,,,,,,,,,,,,
credit to deposit ratio,Global Bank,,,,,,,,,,,,0.072954 0.642079 -0.110461,-0.090877 -0.398896 -0.153501,-0.010778 0.256049 -0.132458,0.030298 -0.029469 -0.121667,0.005652 -0.268958 -0.128142,-0.035740 0.123856 -0.139016,-0.056120 0.264637 -0.144370,-0.006671 1.043189 -0.131379,-0.065284 0.272467 -0.146777,-0.134797 -0.098441 -0.165039,-0.068601 -0.431334 -0.147649,-0.040796 0.001058 -0.140344,-0.041586 -0.083787 -0.140552,-0.091035 0.452225 -0.153543,-0.079976 -0.683323 -0.150637,-0.060702 0.130666 -0.145574,-0.053277 0.168141 -0.143623,-0.103516 -0.520637 -0.156821,-0.043955 0.372764 -0.141174,-0.031633 0.265559 -0.137937,-0.021521 0.491250 -0.135281,-0.063072 0.728995 -0.146196,-0.062124 0.449998 -0.145947,-0.003037 1.075915 -0.130425,-0.030211 0.549882 -0.137563,-0.048853 0.359419 -0.142461,-0.016624 0.781837 -0.133994,27.917679 3.997755 7.204560,-0.016624 1.142295 -0.133994,-0.117893 -1.209280 -0.160598,-0.049011 -0.024395 -0.142502,-0.034792 0.085222 -0.138767,-1.020783 -2.711677 -0.397794,-0.071919 0.078446 -0.148521,-0.035740 -0.048854 -0.139016,-0.013306 0.826953 -0.133123,-0.018046 0.608417 -0.134368,-0.019152 1.211479 -0.134658,-0.024365 0.438715 -0.136028,-0.014570 0.940204 -0.133455,-0.003353 1.431122 -0.130508,-0.106202 0.582982 -0.157527,-0.116629 -0.238085 -0.160266,-0.098935 -0.313534 -0.155618,-0.053119 -0.657714 -0.143582,-0.056752 -0.496131 -0.144536,0.145944 -0.057969 -0.091286,0.171064 -0.007268 -0.084687,0.208032 0.558963 -0.074975,0.147050 0.920914 -0.090996,0.168852 1.589822 -0.085268,0.301244 3.199078 -0.050488,0.114821 0.487271 -0.099463,,,,
debt ratio,Global Bank,,,,,,,,,,0.491029 0.137541 2.775229,0.444063 -1.253649 2.557935,0.559205 0.458708 3.090656,-0.019534 0.133015 0.413031,0.018342 -0.496293 0.588268,0.398612 -0.291838 2.347650,0.109243 -0.809084 1.008838,0.021372 -0.272770 0.602287,-0.305873 -0.771841 -0.911763,,-0.202852 0.220122 -0.435117,-0.275573 0.323104 -0.771573,-0.283148 -0.591390 -0.806620,-0.272543 -0.461755 -0.757554,-0.277088 -0.517659 -0.778582,-0.277088 -0.626217 -0.778582,-0.248303 -0.676599 -0.645402,-0.199822 -0.388041 -0.421098,-0.275573 -0.496905 -0.771573,-0.283148 -0.834697 -0.806620,-0.107405 -0.099941 0.006480,-0.284663 -0.730787 -0.813630,-0.298298 -0.371345 -0.876715,-0.295268 -0.706737 -0.862696,-0.304358 -0.461249 -0.904753,0.166814 1.190124 1.275198,0.178934 0.838892 1.331274,0.083488 0.290056 0.889676,,-0.152856 -0.219676 -0.203804,-0.305873 -0.889003 -0.911763,-0.272543 -0.427910 -0.757554,-0.237697 -0.614192 -0.596336,0.133483 1.343170 1.120989,-0.128616 -0.298358 -0.091652,-0.295268 -0.750271 -0.862696,-0.057410 -0.116269 0.237794,0.113788 0.208337 1.029866,-0.113466 0.416727 -0.021557,-0.108920 0.035966 -0.000529,0.098638 1.412513 0.959771,-0.111950 1.394185 -0.014548,-0.116496 1.254387 -0.035576,-0.104375 0.533115 0.020499,-0.271028 0.793646 -0.750544,-0.213457 1.949984 -0.484184,-0.227092 0.327965 -0.547269,-0.228607 0.066519 -0.554279,-0.190732 1.594399 -0.379042,-0.190732 0.503500 -0.379042,-0.208912 0.187681 -0.463155,-0.172551 -0.197542 -0.294928,-0.263453 -0.389920 -0.715497,-0.201337 0.271530 -0.428108,-0.199822 -0.139131 -0.421098,,,,
interest income to assets ratio,Global Bank,,,,,,,,,,-0.141407 0.930201 -0.851844,-0.026714 0.682760 -0.110065,0.122254 0.648682 0.853394,0.282427 0.249393 1.889326,-0.095925 0.836854 -0.557690,0.090614 0.944018 0.648766,0.267926 0.907028 1.795538,0.405029 0.414395 2.682262,-0.090652 0.663506 -0.523586,0.064248 0.650935 0.478242,0.207284 0.471571 1.403334,0.349002 0.610786 2.319899,-0.124269 0.606830 -0.741003,0.017449 0.608942 0.175562,0.163121 0.806037 1.117706,0.249470 0.374465 1.676172,-0.141407 0.533635 -0.851844,-0.009576 -0.257156 0.000775,0.019426 -0.498223 0.188351,0.124890 -0.807249 0.870447,-0.159204 0.720734 -0.966948,-0.046489 0.708829 -0.237958,0.052384 0.728894 0.401506,0.154552 0.705698 1.062286,-0.173705 -0.034145 -1.060736,-0.076151 -0.006034 -0.429798,0.006243 0.128274 0.103089,0.084682 -0.134750 0.610398,-0.178319 0.337998 -1.090577,-0.080765 0.168619 -0.459639,0.049747 0.424569 0.384454,0.126209 -0.817135 0.878973,-0.136793 0.224917 -0.822002,0.017449 0.862307 0.175562,0.164439 -0.253979 1.126232,0.310771 0.657580 2.072639,-0.118336 0.574499 -0.702636,0.037882 0.499381 0.307718,-0.123610 0.143200 -0.736740,-0.111086 0.552684 -0.655742,-0.120314 0.381261 -0.715425,-0.155908 -1.590701 -0.945632,-0.128224 0.492792 -0.766582,-0.136133 0.555556 -0.817739,-0.142066 0.801081 -0.856107,-0.161840 0.376735 -0.984000,-0.170409 -0.013164 -1.039420,-0.174364 -0.508003 -1.064999,-0.159204 0.322700 -0.966948,-0.147998 0.509984 -0.894475,-0.130860 0.306964 -0.783634,-0.107131 0.584058 -0.630163,-0.098562 0.779906 -0.574743,-0.144043 -1.164681 -0.868896,-0.089334 1.620339 -0.515059,,,,
interest income margin,Global Bank,,,,,,,,,,-0.317908 0.435520 -0.998651,-0.137425 -0.611204 -0.485224,0.181300 -0.145842 0.421467,0.530746 0.054784 1.415550,-0.206546 0.987779 -0.681855,0.188980 1.510296 0.443315,0.534586 1.431691 1.426474,0.857151 1.227927 2.344089,-0.252627 0.799107 -0.812943,-0.010703 0.572822 -0.124732,0.227381 0.393239 0.552555,0.553786 0.442100 1.481094,-0.264147 0.278919 -0.845715,0.108339 0.646721 0.213911,0.500025 0.959440 1.328158,0.730429 0.264501 1.983597,-0.264147 0.866780 -0.845715,0.108339 -0.261591 0.213911,0.212021 -0.513386 0.508859,0.492345 -0.488678 1.306310,-0.256467 1.040952 -0.823867,0.085299 0.624144 0.148368,0.377143 0.589470 0.978590,0.645948 0.797043 1.743269,-0.287187 0.045952 -0.911259,0.058418 0.954711 0.071900,0.354103 0.942056 0.913047,0.642108 0.603261 1.732345,-0.252627 0.648480 -0.812943,0.054578 0.402976 0.060976,0.419384 0.518776 1.098754,0.557626 -0.076094 1.492018,-0.375509 -0.179815 -1.162511,-0.041423 -0.245599 -0.212124,0.231221 -0.273527 0.563479,0.565306 0.013912 1.513866,-0.237266 0.275526 -0.769247,0.092979 0.267768 0.170216,-0.237266 0.246393 -0.769247,-0.198866 0.866128 -0.660007,-0.214226 0.903941 -0.703703,-0.294867 -1.070175 -0.933107,-0.229586 1.991421 -0.747399,-0.275667 1.054728 -0.878487,-0.237266 1.333508 -0.769247,-0.310228 0.689369 -0.976803,-0.325588 0.120640 -1.020499,-0.344788 -0.419667 -1.075119,-0.321748 0.635399 -1.009575,-0.317908 1.303870 -0.998651,-0.291027 0.486042 -0.922183,-0.229586 0.858810 -0.747399,-0.237266 1.184274 -0.769247,-0.329428 -0.623487 -1.031423,-0.187346 2.439155 -0.627235,,,,
return on investment,Global Bank,,,,,,,,,,-0.316920 -0.099875 -0.942797,-0.430505 -1.683263 -1.304620,-0.238831 -1.024090 -0.694043,-0.103949 -1.152184 -0.264378,-0.182039 1.131833 -0.513131,0.002537 0.571921 0.074832,0.101923 -0.149943 0.391427,0.357489 -0.017762 1.205530,-0.324019 0.365639 -0.965411,-0.167840 0.218381 -0.467903,0.023834 0.439134 0.142674,0.265201 0.301234 0.911548,-0.359515 -0.150651 -1.078480,-0.040058 0.470446 -0.060852,0.194211 0.147543 0.685409,0.442677 0.099368 1.476897,-0.068454 2.127892 -0.151308,0.336192 -0.226977 1.137688,0.336192 0.668845 1.137688,0.634352 0.450778 2.087474,-0.288524 -0.045612 -0.852341,0.052230 0.183105 0.233129,0.300697 0.276694 1.024618,0.471074 0.056709 1.567353,-0.238831 -0.168888 -0.694043,0.151617 0.965984 0.549725,0.343291 0.066315 1.160302,0.563361 -0.601469 1.861335,-0.217534 0.003534 -0.626201,0.109022 -0.139907 0.414041,0.506569 0.394832 1.680423,0.676946 -0.275722 2.223158,-0.338218 -0.685332 -1.010639,0.016735 -0.316250 0.120060,0.300697 -0.266735 1.024618,0.648550 0.116163 2.132702,-0.253029 -0.833459 -0.739271,0.123220 0.066240 0.459269,-0.210435 0.467821 -0.603587,-0.082652 0.953735 -0.196536,-0.203336 0.549365 -0.580973,-0.274326 -0.786467 -0.807113,-0.253029 0.742246 -0.739271,-0.423406 -0.101935 -1.282006,-0.267227 0.428546 -0.784499,-0.196237 1.031695 -0.558359,-0.196237 0.645081 -0.558359,-0.409208 -0.413437 -1.236778,-0.295623 0.000000 -0.874955,-0.203336 2.286449 -0.580973,-0.331118 -0.246678 -0.988025,-0.267227 -0.378517 -0.784499,-0.309821 -0.032443 -0.920183,-0.295623 0.584165 -0.874955,-0.324019 0.687009 -0.965411,,,,
commission to operating income,Global Bank,,,,,,,,,,0.116921 1.257663 1.032112,-0.053899 0.682816 -0.079535,-0.208303 -0.020749 -1.084348,0.042825 1.344698 0.549917,-0.059667 0.122937 -0.117071,-0.108473 -0.000937 -0.434684,-0.131545 0.025714 -0.584828,-0.199430 -0.117823 -1.026600,0.002006 0.725112 0.284277,0.164396 1.185145 1.341063,0.159959 1.297620 1.312189,0.081426 1.351902 0.801121,0.264226 1.849363 1.990727,0.088525 1.504228 0.847319,0.017979 1.327477 0.388223,-0.134207 0.316931 -0.602153,0.003337 0.060594 0.292939,-0.050350 0.123410 -0.056435,-0.019291 0.443685 0.145682,-0.131101 0.106290 -0.581941,-0.210522 -0.269681 -1.098785,-0.207860 -0.435312 -1.081460,-0.214071 -0.412240 -1.121884,-0.128439 0.162231 -0.564617,-0.229157 -0.381300 -1.220055,-0.271751 -0.605258 -1.497245,-0.274413 -0.595959 -1.514569,-0.177689 0.112368 -0.885117,-0.190112 0.007592 -0.965964,-0.222501 -0.243551 -1.176744,-0.226938 -0.348044 -1.205618,-0.174583 -0.104468 -0.864906,-0.036152 0.264545 0.035961,-0.176801 -0.353640 -0.879343,-0.278406 -0.892852 -1.540556,-0.172364 -0.039366 -0.850469,0.199891 0.155447 1.572055,0.151529 -0.184855 1.257329,0.085863 0.220227 0.829994,0.200335 0.380191 1.574942,0.291735 0.704977 2.169745,0.064122 -0.545991 0.688512,-0.052124 -0.396334 -0.067985,-0.176358 -1.091123 -0.876455,0.075658 -0.424470 0.763584,0.029958 -0.731467 0.466183,0.081870 -0.570549 0.804008,-0.080521 -0.819934 -0.252778,0.314363 0.364712 2.317002,-0.059224 -1.321805 -0.114183,0.041494 -0.252688 0.541255,0.016647 -0.232596 0.379561,0.094293 0.153146 0.884855,-0.078746 -0.531011 -0.241229,-0.146630 -0.962585 -0.683000,,,,
staff expense to income ratio,Global Bank,,,,,,,,,,-0.304486 0.866179 -0.189626,-0.493613 0.917893 -0.589971,-0.646205 0.369021 -0.912977,-0.874018 -0.574716 -1.395210,-0.941717 -0.710018 -1.538516,-0.923449 -0.638193 -1.499846,-0.779454 -0.105808 -1.195038,-0.456003 -0.175452 -0.510357,-0.534448 -0.254585 -0.676409,-0.607520 -0.521809 -0.831088,-0.550567 -0.355466 -0.710530,-0.459227 0.075291 -0.517181,-0.533373 0.074804 -0.674135,-0.771932 -0.043892 -1.179115,-0.779454 -0.011497 -1.195038,-0.702083 0.152775 -1.031260,-0.313083 -0.075108 -0.207824,-0.649429 -0.127959 -0.919801,-0.742918 -0.181372 -1.117699,-0.709606 -0.044479 -1.047183,-0.260428 -0.289013 -0.096364,-0.472122 -0.174132 -0.544477,-0.450630 -0.170244 -0.498984,-0.250757 -0.040605 -0.075892,0.209167 0.146816 0.897674,-0.275472 -0.043570 -0.128210,-0.438810 -0.089991 -0.473962,-0.586028 -0.231809 -0.785594,0.261822 0.662881 1.009134,-0.454928 0.047514 -0.508082,-0.538746 -0.132203 -0.685508,-0.607520 -0.288119 -0.831088,0.317700 0.059663 1.127418,-0.143298 0.074440 0.151577,-0.755813 -0.829275 -1.144995,-0.295889 -0.139285 -0.171429,0.527245 0.443537 1.570982,0.378952 0.428204 1.257075,0.202719 -0.181617 0.884026,-0.177685 -0.975305 0.078787,0.377877 -0.284084 1.254800,0.367131 0.124988 1.232053,0.596018 0.112411 1.716562,-0.392602 -1.128109 -0.376151,0.429457 -0.396207 1.363985,0.540140 -0.408462 1.598278,0.119976 -1.148221 0.708875,0.557333 0.028012 1.634673,0.589571 -0.373608 1.702914,0.463844 -0.960797 1.436775,0.508977 -0.322398 1.532312,0.189824 -0.544763 0.856730,0.384325 -0.297956 1.268448,0.038307 -0.960441 0.535999,-0.006825 -0.486883 0.440462,,,,
net profit margin,Global Bank,,,,,,,,,,-0.176641 -0.496901 -0.155428,-1.318132 -2.042388 -2.649630,-0.997587 -1.454075 -1.949225,-1.026112 -1.651922 -2.011553,0.029320 0.577729 0.294606,-0.307664 -0.063800 -0.441717,-0.565841 -0.686090 -1.005844,-0.470112 -0.511194 -0.796673,-0.468178 0.168401 -0.792448,-0.532481 0.068797 -0.932951,-0.429017 0.376165 -0.706878,-0.378735 0.157623 -0.597010,-0.705566 -0.222341 -1.311149,-0.309114 0.272475 -0.444886,-0.383570 -0.243566 -0.607575,-0.291709 -0.244444 -0.406855,1.020450 1.681520 2.460262,0.744867 1.677807 1.858104,0.430607 1.428853 1.171433,0.318440 0.891538 0.926344,-0.319267 -0.316269 -0.467071,-0.021445 -0.294329 0.183682,-0.048520 -0.145050 0.124523,-0.205167 -0.433653 -0.217756,0.071383 -0.243567 0.386514,0.302485 0.109530 0.891482,0.061713 -1.125883 0.365386,-0.035949 -1.879332 0.151990,0.057845 -0.495622 0.356935,0.189351 -0.735442 0.644280,0.285563 0.014947 0.854507,0.323275 -0.538517 0.936908,-0.150534 -0.588652 -0.098381,0.175331 -0.278643 0.613644,-0.344892 -1.733075 -0.523061,0.285080 0.281139 0.853451,-0.199365 -0.810017 -0.205079,0.159376 0.147841 0.578782,0.127466 0.301111 0.509059,0.537939 0.491399 1.405957,-0.033532 -0.248456 0.157272,0.104259 -0.265175 0.458351,-0.056255 0.494324 0.107620,-1.017893 -0.313425 -1.993594,-0.173740 0.093678 -0.149089,0.535521 0.704438 1.400675,0.483789 0.442448 1.287639,-0.793076 -0.415516 -1.502360,-0.065441 -0.175532 0.087548,0.597407 1.929323 1.535897,-0.159236 -0.154371 -0.117397,-0.045135 -0.492442 0.131918,-0.341507 -0.162099 -0.515666,0.229480 1.055031 0.731963,-0.502505 0.252470 -0.867453,,,,
income tax portion of operating profit,Global Bank,,,,,,,,,,-0.046102 0.325889 -0.409242,-0.046102 1.983962 -0.409242,-0.046102 1.413941 -0.409242,-0.046144 1.380776 -1.023151,-0.046102 0.736982 -0.409242,-0.046102 1.411919 -0.409242,-0.046102 0.989039 -0.409242,,,-0.046102 0.440200 -0.409242,-0.046102 0.432128 -0.409242,,,,,,-0.046120 -0.831756 -0.674299,-0.046113 0.459107 -0.571525,-0.046143 -0.855243 -1.006907,-0.046108 0.706531 -0.494485,-0.046104 0.783583 -0.436906,-0.046103 1.044674 -0.421627,-0.046103 0.973106 -0.419053,-0.046103 1.019432 -0.418571,-0.046103 0.776962 -0.419053,-0.046103 -0.333329 -0.413424,-0.046103 1.267016 -0.419375,-0.046103 1.119853 -0.423718,-0.046103 0.844711 -0.422592,-0.046105 1.336999 -0.442857,-0.046104 0.952917 -0.432081,-0.046103 1.040499 -0.422913,-0.046102 -0.305517 -0.407312,-0.046103 1.207768 -0.414228,-0.046103 1.117913 -0.412298,-0.046102 1.518355 -0.411172,,,-0.046023 0.168555 0.777080,-0.046018 -0.067307 0.845274,-0.046104 -0.280817 -0.428060,-0.046043 0.264079 0.473101,-0.046008 0.186776 0.989222,-0.045814 0.262088 3.874611,-0.046105 -0.356074 -0.442053,-0.046075 -0.063179 0.001853,-0.046042 0.154696 0.481143,-0.045818 1.148815 3.815423,-0.046100 -0.319496 -0.377719,-0.046076 -0.317618 -0.022594,-0.045979 0.213515 1.431198,-0.045957 1.153082 1.747079,-0.046099 -0.198256 -0.353272,-0.046063 -0.284828 0.171374,-0.046021 -0.023138 0.797828,,,,
loan to deposit ratio,Global Bank,,,,,,,,,,-0.036518 0.312236 -0.216390,-0.033519 0.352318 0.464760,-0.033622 0.579401 0.441433,-0.041297 0.200952 -1.301875,-0.037326 0.104584 -0.399896,-0.034820 0.287669 0.169284,-0.035970 0.045634 -0.091979,-0.037921 0.113069 -0.535193,-0.039612 0.195444 -0.919312,-0.037860 0.266916 -0.521197,-0.041030 0.019295 -1.241225,-0.043214 0.113182 -1.737314,-0.040037 0.049242 -1.015730,-0.040235 0.095096 -1.060829,-0.039777 0.268365 -0.956635,-0.041817 0.389923 -1.420066,-0.040619 0.173249 -1.147917,-0.040229 0.344918 -1.059274,-0.038777 0.600449 -0.729585,-0.039694 0.901257 -0.937973,-0.038147 0.867230 -0.586513,-0.037004 0.428228 -0.326805,-0.036771 1.288789 -0.273930,-0.038846 1.277916 -0.745137,-0.039455 -0.249531 -0.883544,-0.037011 1.208047 -0.328360,-0.035306 1.577423 0.058869,-0.040181 -0.260474 -1.048388,-0.038154 0.425481 -0.588068,-0.037736 0.255086 -0.493204,-0.037599 -0.097034 -0.462102,-0.041036 -1.002398 -1.242780,-0.037921 -0.285240 -0.535193,-0.035614 0.147831 -0.011112,-0.036237 -0.340861 -0.152630,-0.035737 -0.249476 -0.039105,-0.034286 0.032243 0.290584,-0.033019 0.271396 0.578285,-0.032307 -0.232964 0.740019,-0.030479 0.601790 1.155240,-0.029952 0.355677 1.274986,-0.026652 1.276361 2.024561,-0.026837 0.969703 1.982573,-0.031958 0.831472 0.819331,-0.033423 0.515346 0.486532,-0.033224 0.239737 0.531630,-0.030096 0.236932 1.242328,-0.034258 -0.486200 0.296805,-0.027775 0.516544 1.769519,-0.027775 0.333783 1.769519,-0.026131 1.457640 2.142752,-0.028671 0.488889 1.565796,-0.028411 0.985918 1.624891,-0.031424 0.509411 0.940631,-0.032752 0.277394 0.638935,,,,
reserves,Investment Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.037131 1.783713 -2.006658,-0.031104 1.971224 -1.866846,-0.023890 2.101895 -1.699502,-0.018264 2.211296 -1.569008,-0.033888 1.417019 -1.931449,-0.025490 2.072282 -1.736630,0.041983 3.413601 -0.171418,0.051330 3.317802 0.045412,0.023142 2.681642 -0.608494,0.034561 3.325053 -0.343602,0.044627 3.323385 -0.110085,0.068414 3.530967 0.441709,0.032261 2.698242 -0.396957,0.043010 2.542538 -0.147599,0.055871 2.341478 0.150748,0.065459 1.137686 0.373162,0.117009 2.071515 1.568990,0.069795 1.321537 0.473757,0.050516 1.773858 0.026526,0.055581 2.080247 0.144015,0.054079 -0.238756 0.109171,0.044626 1.677772 -0.110115,0.063342 1.729901 0.324045,0.061294 1.957338 0.276535,0.068908 1.963048 0.453178,0.070804 1.796142 0.497159,0.080904 1.773890 0.731451,0.097662 2.209865 1.120190,0.097209 1.968725 1.109675,0.095783 1.890458 1.076602,0.099060 1.857467 1.152626,0.103236 1.894845 1.249488,0.108600 1.757891 1.373923,,,,,,
debenture and bond,Investment Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.789222 2.311252 1.622614,1.789222 2.064547 1.622614,1.789222 2.108992 1.622614,1.377042 1.836607 0.052342,1.377042 1.836607 0.052342,1.377042 2.136496 0.052342,1.377042 2.326368 0.052342,1.377042 2.136496 0.052342,1.377042 1.993190 0.052342,1.377042 2.130549 0.052342,1.377042 2.130548 0.052342,1.377042 2.130548 0.052342,1.377042 2.130548 0.052342,1.377042 0.620713 0.052342,1.377042 0.590912 0.052342,0.882425 0.312723 -1.831984,0.882425 0.067457 -1.831984,0.882425 0.013928 -1.831984,,,,,,,,,,,,,,,,,,,,,
borrowings,Investment Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.329382 -0.553297 -0.651040,-0.364871 -0.366744 -0.723709,-0.376853 0.003144 -0.748244,-0.387073 -0.308817 -0.769170,-0.382515 -0.446061 -0.759838,-0.179587 -0.213910 -0.344313,-0.380088 -0.859879 -0.754868,-0.392111 -0.923751 -0.779486,-0.073449 -0.365613 -0.126978,-0.390145 -0.520183 -0.775462,-0.395855 -0.609726 -0.787152,-0.395761 -0.420783 -0.786960,-0.395106 -0.738978 -0.785619,0.081437 0.025596 0.190173,0.581291 1.060600 1.213698,-0.187913 -0.206211 -0.361361,0.054243 -0.408085 0.134490,0.139007 -0.571502 0.308056,,,,,,,,,,,,0.922342 1.761571 1.912050,0.962409 1.632520 1.994094,1.032975 0.496080 2.138589,0.605392 0.570937 1.263049,,,,,,
deposits,Investment Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.039339 1.836318 -1.910418,-0.037527 2.048977 -1.758251,-0.037076 2.119272 -1.720423,-0.033635 2.141636 -1.431589,-0.031720 2.085985 -1.270865,-0.030931 2.371964 -1.204649,-0.025636 2.739559 -0.760221,-0.027100 2.271820 -0.883128,-0.025595 2.405747 -0.756753,-0.024192 2.447996 -0.639034,-0.023031 2.456753 -0.541604,-0.020967 2.451536 -0.368295,-0.018939 2.391437 -0.198133,-0.019433 2.226244 -0.239544,-0.019310 1.942330 -0.229257,-0.015692 1.702626 0.074412,-0.015263 1.691993 0.110402,-0.014935 1.437907 0.137983,-0.014962 1.713641 0.135737,-0.012292 1.578574 0.359781,-0.011594 -0.247793 0.418359,-0.012072 0.992498 0.378261,-0.009596 0.990081 0.586083,-0.006111 1.032444 0.878588,0.000576 1.142216 1.439921,-0.006113 0.488242 0.878470,-0.006253 0.315430 0.866670,-0.003135 0.274854 1.128410,-0.004507 0.121334 1.013227,-0.003451 0.051974 1.101918,-0.001186 0.148557 1.291950,0.000593 0.142039 1.441278,0.003326 0.276130 1.670714,,,,,,
income tax liability,Investment Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.094135 1.454854 -0.865134,-0.119061 -1.212851 -1.083998,-0.118770 -1.036500 -1.081450,-0.119449 -0.966816 -1.087414,-0.104721 -0.020116 -0.958089,-0.119837 -0.883875 -1.090813,-0.119124 -0.828326 -1.084560,,-0.072859 2.091797 -0.678320,-0.108202 -0.399419 -0.988655,-0.118027 -0.999429 -1.074925,,-0.075260 -0.166889 -0.699403,-0.114719 -0.859588 -1.045876,-0.111855 -0.827375 -1.020727,-0.067254 0.001211 -0.629104,,,0.042645 0.330262 0.335868,0.047542 0.181368 0.378865,0.039112 -0.268111 0.304843,0.050207 0.353257 0.402268,0.054306 0.286568 0.438255,0.069925 0.186084 0.575402,0.085291 0.471415 0.710321,0.135817 0.658846 1.153969,0.138826 0.482970 1.180392,0.233891 0.836801 2.015110,0.177769 0.757028 1.522328,0.178946 0.720244 1.532666,0.147021 0.618977 1.252344,0.102717 0.397669 0.863332,0.086679 0.450535 0.722505,,,,,,
other liabilities,Investment Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.021570 0.766722 -0.710994,-0.032344 0.509538 -0.821815,-0.042040 0.150446 -0.921547,0.075661 2.007797 0.289104,-0.021454 1.345711 -0.709803,-0.034809 -0.104138 -0.847162,0.486350 3.085899 4.513353,-0.037926 0.044679 -0.879223,0.230495 1.807627 1.881685,0.069660 0.788899 0.227376,0.087712 0.896554 0.413054,0.050866 1.165673 0.034071,0.125106 1.186988 0.797680,0.029650 0.393469 -0.184159,0.060292 1.496769 0.131020,0.114913 1.371987 0.692845,0.030429 0.325613 -0.176142,0.044145 0.152144 -0.035066,0.047090 0.393292 -0.004772,-0.019070 -0.077433 -0.685274,-0.018979 -0.245951 -0.684345,-0.002794 0.066704 -0.517871,-0.012313 -0.069252 -0.615772,-0.022085 -0.099811 -0.716287,-0.006707 0.613262 -0.558111,0.021330 0.140529 -0.269732,0.030104 0.348794 -0.179483,0.057289 0.286049 0.100132,0.089914 1.084904 0.435709,0.005511 0.077029 -0.432445,0.019314 0.116350 -0.290472,0.120984 0.680964 0.755289,0.044555 0.685322 -0.030843,,,,,,
total assets,Investment Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.040098 1.901346 -1.815782,-0.038841 2.067036 -1.711332,-0.038474 2.077987 -1.680850,-0.034895 2.274940 -1.383488,-0.034318 2.438681 -1.335609,-0.033599 2.214498 -1.275821,-0.023545 2.990608 -0.440630,-0.029241 2.274214 -0.913845,-0.025623 2.579855 -0.613258,-0.026129 2.478437 -0.655346,-0.024944 2.506514 -0.556874,-0.023201 2.585447 -0.412082,-0.021393 2.483849 -0.261852,-0.022123 2.261271 -0.322535,-0.021180 2.188542 -0.244195,-0.018543 2.051528 -0.025112,-0.017767 1.842130 0.039337,-0.017802 1.411851 0.036434,-0.016864 1.388404 0.114361,-0.014879 1.520193 0.279215,-0.014638 -0.248254 0.299263,-0.014321 0.827037 0.325631,-0.012343 0.796214 0.489890,-0.010395 0.802785 0.651757,-0.005083 0.934834 1.092994,-0.008196 0.456401 0.834414,-0.006774 0.317817 0.952583,-0.003557 0.334242 1.219787,-0.002325 0.279783 1.322165,-0.002805 0.213869 1.282228,-0.001394 0.252730 1.399487,0.000842 0.261718 1.585254,0.002510 0.383916 1.723808,,,,,,
